orig_index,f_form,def_form,voltage_lif,voltage_f2,vol_p_f,per_exp,grav_cap,grav_e_den,vol_e_den,f_transfer,f_cost_p_kg,def_cost_p_kg,f_cost_p_mol,def_cost_p_mol,cost_p_mol_f,log10_cost_p_mol_f,f_id,def_id,f_spacegroup,def_spacegroup,f_e_hull,def_e_hull,f_bandgap,def_bandgap,f_barrier,def_barrier,direct,products,type
0,KPHO3F,KPHO3,1.708826958,4.438273043,102.6662299,6.947135727,194.1058813,331.6933626,740.7614366,1,4.596484963,5.009147259,0.634667039,0.596480249,0.634667039,-0.197454056,mp-758619,mp-1211912,Spacegroup object (4),Spacegroup object (2),0,0.043710288,5.1767,3.0636,-,-,No,K2PO3F + KPO3 + 3 KP(HO2)2 + P,Complete
1,RbPbF3,RbPb,1.380569207,4.766530793,36.47302644,19.22029762,229.9483823,317.4596558,1684.590215,3,3790.163168,4527.882124,1325.27986,1325.1653,441.7599533,2.645186343,mp-1540546,mp-21525,Spacegroup object (161),Spacegroup object (142),0,0,3.8195,3.0636,-,-,No,Rb4Pb9 + 5 RbF,Complete
2,BaSb2F12,BaSb2,2.339878861,3.807221139,22.26754969,144.6849264,528.2573387,1236.05818,4676.585045,12,3.12720146,3.795975339,1.903927305,1.44568582,0.158660609,-0.799530884,mp-554765,mp-2196,Spacegroup object (1),Spacegroup object (11),0,0,4.0409,3.0636,-,-,No,BaSb3 + 0.5 BaF2,Complete
3,TlHgF3,TlHg,2.81468939,3.33241061,31.62044074,60.55641721,174.0474551,489.8895251,3961.598419,3,1871.517691,2134.628821,864.5822381,864.4676777,288.1940794,2.459685054,mp-998758,mp-11473,Spacegroup object (55),Spacegroup object (221),0,0.001927934,2.1963,3.0636,0.403456132,-,No,TlHg3 + 2 TlF,Complete
4,PdPbF4,PdPb,2.864902749,3.282197251,24.5462426,127.9483905,275.1595967,788.3054849,5194.368482,4,13522.00481,16798.04987,5268.357145,5268.204398,1317.089286,3.119615217,mp-20805,mp-1210215,Spacegroup object (140),Spacegroup object (2),0,0,0.8762,3.0636,-,-,No,Pd3Pb + 2 PbF2,Complete
5,NiRhF6,NiRh,3.185888247,2.961211753,17.11292231,303.4560367,583.5091407,1858.994913,8285.414721,6,54893.8308,93614.03041,15128.15345,15127.92433,2521.358909,3.401634671,mp-20580,mp-1220054,Spacegroup object (148),Spacegroup object (166),0,0.07020395,0.0159,3.0636,0.713053065,-,No,Rh + NiF2,Complete
6,Pt(OF3)2,PtO2,4.600259895,1.546840105,21.83146233,290.7889759,471.4790777,2168.926293,9377.939657,6,15901.48081,23882.65482,5423.569247,5423.340126,903.9282078,2.956133939,mp-541474,mp-1285,Spacegroup object (206),Spacegroup object (58),0,0,0,3.0636,-,-,Yes,Pt(OF3)2,Complete
7,Ca5P3O12F,Ca5(PO4)3,-0.918377155,7.065477155,270.4740279,-0.532257557,53.14564515,-48.80774639,-151.1135457,1,1.535985163,1.517428705,0.774601141,0.73641435,0.774601141,-0.110921868,mp-6473,mp-1182052,Spacegroup object (176),Spacegroup object (176),0,0.04192295,5.5148,3.0636,1.081341079,-,Yes,Ca5P3O12F,Complete
8,La(AuF4)3,LaAu3,3.235560403,2.911539597,23.37191872,205.2552132,335.7929313,1086.478312,6161.167804,12,27640.24363,36274.03778,26473.4388,26472.98056,2206.1199,3.343629112,mp-28993,mp-864901,Spacegroup object (167),Spacegroup object (194),0,0.021509105,2.1698,3.0636,0.32528742,-,No,La14Au51 + 3 LaF3,Complete
9,NaSbF4,NaSb,1.827393375,4.319706625,25.14262548,64.50515213,485.658612,887.48933,3234.665023,4,4.200201411,5.350056909,0.927166665,0.774419503,0.231791666,-0.634902183,mp-29269,mp-7944,Spacegroup object (14),Spacegroup object (14),0,0,4.3132,3.0636,-,-,No,Sb + NaF,Complete
10,MgPbF6,MgPb,2.068468752,4.078631248,19.48791002,119.1528322,465.4443385,962.7570698,4723.800973,6,2.025810774,2.033595819,0.699908342,0.4707876,0.11665139,-0.93311008,mp-19734,mp-1185937,Spacegroup object (148),Spacegroup object (51),0,0.008609373,3.3534,3.0636,1.076674683,-,No,Pb + MgF2,Complete
11,RbSbF6,RbSb,2.161928894,3.985171106,23.83770417,61.62040224,500.6219362,1082.309029,4036.313336,6,4127.054233,6396.12972,1325.685011,1325.45589,220.9475018,2.344289095,mp-9821,mp-10487,Spacegroup object (148),Spacegroup object (14),0,0,4.8849,3.0636,7.465654113,-,No,RbSb2 + RbF,Complete
12,NiSnF6,NiSn,2.427978733,3.719121267,18.27840819,225.155745,551.8610082,1339.906791,5911.727397,6,11.20420471,17.11193393,3.264836001,3.035715259,0.544139334,-0.26428988,mp-560023,mp-680646,Spacegroup object (148),Spacegroup object (55),0,0.007902123,0,3.0636,1.21612905,-,No,Ni4Sn3 + SnF2,Complete
13,ZnRhF6,ZnRh,3.187604843,2.959495157,17.48682218,277.0039798,569.6283554,1815.750104,8112.626407,6,53585.69187,89875.05707,15127.50441,15127.27529,2521.250735,3.401616038,mp-15637,mp-6938,Spacegroup object (148),Spacegroup object (221),0,0,0,3.0636,5.885019094,-,No,Rh + ZnF2,Complete
14,EuSnF7,EuSn,1.851774404,4.295325596,20.58681648,119.2249853,464.7699951,860.6491807,4003.195286,7,17.98246886,25.83013736,7.258854131,6.991546598,1.036979162,0.015770029,mp-21580,mp-567833,Spacegroup object (14),Spacegroup object (63),0,0,0,3.0636,-,-,No,Eu3Sn5 + 2 EuF2,Complete
15,LuAu2F9,LuAu2,2.983237847,3.163862153,20.56344043,202.6304867,326.0142864,972.5781578,6456.542224,9,24005.12733,31219.37784,17761.05204,17760.70836,1973.450226,3.295226177,mp-14802,mp-1018152,Spacegroup object (60),Spacegroup object (139),0,0,1.9441,3.0636,-,-,No,LuAu3 + 0.5 LuF3,Complete
16,NaBiF6,NaBi,2.655481952,3.491618048,22.79240289,135.2993056,464.8185146,1234.317176,5185.147721,6,4.704770555,6.028984035,1.627665189,1.398544447,0.271277532,-0.566586175,mp-27420,mp-22924,Spacegroup object (148),Spacegroup object (123),0,0,2.7315,3.0636,0.695706092,-,No,Bi + NaF,Complete
