orig_index,f_form,def_form,voltage_lif,voltage_f2,vol_p_f,per_exp,grav_cap,grav_e_den,vol_e_den,f_transfer,f_cost_p_kg,def_cost_p_kg,f_cost_p_mol,def_cost_p_mol,cost_p_mol_f,log10_cost_p_mol_f,f_id,def_id,f_spacegroup,def_spacegroup,f_e_hull,def_e_hull,f_bandgap,def_bandgap,f_barrier,def_barrier,direct,products,type
6,Pt(OF3)2,PtO2,4.600259895,1.546840105,21.83146233,290.7889759,471.4790777,2168.926293,9377.939657,6,15901.48081,23882.65482,5423.569247,5423.340126,903.9282078,2.956133939,mp-541474,mp-1285,Spacegroup object (206),Spacegroup object (58),0,0,0,3.0636,-,-,Yes,Pt(OF3)2,Complete
7,Ca5P3O12F,Ca5(PO4)3,-0.918377155,7.065477155,270.4740279,-0.532257557,53.14564515,-48.80774639,-151.1135457,1,1.535985163,1.517428705,0.774601141,0.73641435,0.774601141,-0.110921868,mp-6473,mp-1182052,Spacegroup object (176),Spacegroup object (176),0,0.04192295,5.5148,3.0636,1.081341079,-,Yes,Ca5P3O12F,Complete
21,TbSF,TbS,0.420494155,5.726605845,49.83242936,16.39620521,127.6329362,53.66890366,375.5396492,1,498.1887588,547.5452007,104.6140363,104.5758495,104.6140363,2.019589959,mp-10930,mp-1610,Spacegroup object (129),Spacegroup object (225),0,0,1.2587,3.0636,0.698369714,-,Yes,TbSF,Complete
27,YSF,YS,0.47121699,5.67588301,49.60623592,16.61759967,191.4812041,90.22919663,422.7587052,1,19.98465588,22.80756537,2.797237358,2.759050568,2.797237358,0.44672932,mp-10086,mp-1534,Spacegroup object (129),Spacegroup object (225),0,0,1.3132,3.0636,1.420767998,-,Yes,YSF,Complete
29,NbCl4F,NbCl4,2.092959983,4.054140017,175.9563868,16.71388103,105.6354286,221.0907248,529.3754321,1,27.07406101,29.10277787,6.869143664,6.830956874,6.869143664,0.836902599,mp-707060,mp-31040,Spacegroup object (2),Spacegroup object (12),0,0,2.5076,3.0636,-,-,Yes,NbCl4F,Complete
31,ReO3F,ReO3,3.47543942,2.67166058,80.1186463,46.434629,105.849525,367.8736119,1930.563152,1,2707.93837,2927.439552,685.6597523,685.6215655,685.6597523,2.836108657,mp-573051,mp-190,Spacegroup object (13),Spacegroup object (221),0,0,3.009,3.0636,2.69385146,-,Yes,ReO3F,Complete
49,CeOF,CeO,0.08368486,6.06341514,46.06301001,48.66466113,153.0517906,12.80811767,80.85417924,1,3.952801466,4.189229939,0.692190098,0.654003307,0.692190098,-0.159774618,mp-755007,mp-10688,Spacegroup object (166),Spacegroup object (225),0,0,0,3.0636,0.719132998,-,Yes,CeOF,Complete
50,PrSF,PrS,0.47462664,5.67247336,55.90252336,14.15337347,139.6120962,66.2636201,377.8579741,1,75.81686779,83.92342471,14.55464395,14.51645716,14.55464395,1.163001586,mp-3992,mp-2495,Spacegroup object (129),Spacegroup object (225),0,0,1.2541,3.0636,-,-,Yes,PrSF,Complete
59,As(BrF2)3,AsBr3,3.660153813,2.486946187,37.15042137,29.01917744,375.1746977,1373.1971,4384.736353,6,3.190713076,3.618480417,1.367616262,1.13849552,0.227936044,-0.642186994,mp-28159,mp-23317,Spacegroup object (2),Spacegroup object (19),0,0,1.6272,3.0636,-,-,Yes,As(BrF2)3,Complete
61,PrOF,PrO,-0.43143091,6.57853091,46.80186645,40.93738688,152.3629919,-65.73410424,-410.2569781,1,82.73841648,92.51306336,14.55413864,14.51595185,14.55413864,1.162986508,mp-769173,mp-11344,Spacegroup object (166),Spacegroup object (225),0,0.066282496,4.4371,3.0636,1.358081455,-,Yes,PrOF,Complete
73,LaOF,LaO,-0.493736395,6.640836395,49.03239906,42.98919901,154.1171747,-76.09325825,-448.1463788,1,4.107698575,4.364972109,0.714342227,0.676155437,0.714342227,-0.146093676,mp-7100,mp-1206710,Spacegroup object (129),Spacegroup object (225),0,0.024122935,4.5691,3.0636,0.238516301,-,Yes,LaOF,Complete
75,P3Pb5O12F,P3Pb5O12,0.64314227,5.50395773,326.008991,2.439615889,20.00241162,12.86439641,87.79815086,1,1.783483593,1.78022566,2.38971194,2.35152515,2.38971194,0.378345554,mp-21554,mp-1210217,Spacegroup object (176),Spacegroup object (176),0,0.046250797,3.6872,3.0636,0.45176722,-,Yes,P3Pb5O12F,Complete
